id,agent名,主导部门,项目经理,体验链接
577,PCAD数询助手,CDG-广告营销服务线-平台与内容广告部,ziffzhuo,
596,供应商咨询应答机器人,S1-集团采购管理部,johnlli,https://yuanqi.tencent.com/webim/#/chat/smWTKM?appid=1957276228185850496&experience=true
608,微信客服线索获客会话智能体,CDG-广告营销服务线-微信广告部,qinghuzhang,
664,企微智能机器人,WXG-企业微信产品部,dylanlv,
701,秒剪广告制作 agent,WXG-读书产品部,cecilelu,
739,鹰眼·AI智审,CSIG-政企客户成功中心,frankechen,http://21.6.93.247:5002/
766,视频号智能合集,WXG-视频产品部,taoklin,
779,赛宝对局问题定位agent,IEG-IEG品牌与数字生态营销部,kirinpeng,
797,智研全链路可观测 Agent,TEG-研发管理部,shinnyhuang,
832,单测生成Agent,TEG-研发管理部,dollyyang,
85,无极智能开发,PCG-PCG技术与内容平台-应用架构平台部,vicyao,
871,大客户转售Agent,CSIG-云技术运营服务部,mianmfu,https://test-andon.woa.com/mobile/ai-assist/chat
885,小途工艺制作专家,"CSIG-通途数据中心,CSIG-CSIG质量部",yttingzhang,https://tmind.woa.com/showShare?code=15S5V37UWX
913,AI抽奖配置师,IEG-IEG品牌与数字生态营销部,alviswang,
928,免广告券Helper,CDG-广告营销服务线-微信广告部,irisshi,
952,支付平台AI研发助手,CDG-支付基础平台与金融应用线-支付平台研发部,skyenwu,
982,webAssistant,IEG-内容生态部,boltzou,
999,特征检索agent,CDG-广告营销服务线-商业数据部,cocoxyyang,
1006,PUBGM WOW 智能助手,"IEG-光子工作室群-量子工作室,IEG-IEG Global-Data&AI Group",zimoding,https://www.pubgmobile.com/HK/home.shtml
110,Talos智能测试,PCG-社交平台与应用线-社区产品部,edzhou,
129,旅鹅HotelGPT,CSIG-智慧零售战略合作部,feliciazhu,pages/chatbot/index.html
138,QQ浏览器小说AI-Agent,CSIG-信息平台与服务线-应用技术部,basezhang,https://tool.browser.qq.com/ai-tools/h5/share?subRobotType=4&shareId=1509a0024ef743a2997ce59e06248c34&useNewInstance=1&uiType=5&nickname=Base&isNovelAgent=1
148,COS迁移AI工作流,CSIG-智慧行业一部,leohaosun,
161,AI智享提效工具,CSIG-产业生态合作部,leqingli,
168,LangData-ChatBI,TEG-机器学习平台部,daisyqhuang,https://wedata.woa.com/do;https://llmapp.woa.com/
177,智投广告投放 AIM+,"CDG-广告营销服务线-商业推荐部,CDG-广告营销服务线-商业平台部",xinruchen,
21,智绘AI设计工作台,CSIG-信息平台与服务线-用户体验设计部,jundabei,https://zha.woa.com/home
215,伽利略Agent项目,PCG-PCG技术与内容平台-应用架构平台部,petermeng,https://j.woa.com/?orgId=tencent&aiAgentOpen=true
231,小O数智员工-经营管理助手,CSIG-业务经营管理部,lucazyli,
253,智能API助手,CDG-支付基础平台与金融应用线-跨境支付业务部,zicowu,
278,卡证鉴伪智能体,CSIG-优图实验室,wyitwang,https://adp.cloud.tencent.com/webim_exp/#/chat/AumYCw
295,和平精英绿洲开发AI助手,IEG-光子工作室群-S工作室,jimmyzmwu,
311,Dola：数据知识库AI助手,PCG-PCG技术与内容平台-大数据平台部,karolinaliu,https://dola.woa.com/ai-chat?repo=market-51b9fa0c-d413-46ef-8aef-7ae82667c5cd&question=%E8%85%BE%E8%AE%AF%E8%82%A1%E7%A5%A8%E4%BB%B7%E6%A0%BC%E5%88%86%E6%9E%90%EF%BC%8C%E6%9C%AA%E6%9D%A5%E4%B8%80%E4%B8%AA%E6%9C%88%E8%B5%B0%E5%8A%BF%E9%A2%84%E6%B5%8B&autoSend=true
353,云手机+ AI agent,CSIG-云产品五部,hayesli,
365,英雄联盟手游-智能化AI指导,IEG-光子工作室群-逍遥游工作室,dillyli,
385,AI Agent开户审核,CDG-广告营销服务线-商业运管部,kxingzhang,
408,研发预算智能问数,TEG-运营管理部,terrydai,
419,企鹅教师创意教学Agent,CDG-可持续社会价值事业部-数字教育实验室,onlychen,
43,智能运维平台,CSIG-云技术运营服务部,dinglimao,
457,QQ AI+DS,PCG-社交平台与应用线-社交平台架构中心,fiosong,
474,QQ浏览器AI学术助理,CSIG-搜索应用部,galenqin,
505,安兔AI助手,CSIG-云技术运营服务部,louiscxqiu,
565,腾讯位置服务开发者分析专家,CSIG-地图产品部,hunterfang,
584,用户问题智能定位,PCG-社交平台与应用线-社交协作产品部,kanalin,
616,AI CLI Agent,CSIG-云产品四部,dyuankong,
693,CPS商品营销智能体,"CDG-广告营销服务线-商业平台部,CDG-广告营销服务线-商业推荐部",laoguo,
708,微信输入法表情包创作agent,WXG-读书产品部,cecilelu,
783,新闻妹AI-伴随式新闻智能助手,PCG-腾讯新闻-新闻工程研发部,tomqian,https://view.inews.qq.com/ai/agent/UTR2025040800399100?no-redirect=1
794,新人助手agent,IEG-IEG品牌与数字生态营销部,eviehehe,https://xd.woa.com/itrpc.xd.aim/#/chat/index?agent_id=ZODxVo6GTHEo
801,数据智能分析Agent,IEG-IEG品牌与数字生态营销部,zackerguo,https://test.com
814,企业微信AI搜索,WXG-企业微信产品部,loganyu,
825,Data Agent,TEG-机器学习平台部,mikezctang,
854,【微信蓝包】AI选礼物助手,WXG-电商产品部,julesyzhang,
875,多尺寸扩图agent,IEG-IEG品牌与数字生态营销部,alvinxu,
896,DDoS攻防提效AI助手,TEG-安全平台部,gammachen,https://chat.zsd.woa.com/#/chat
923,AI智能评测文档预览效果,WXG-企业微信应用部,lukaschen,
93,QQ 成本专家,PCG-社交平台与应用线-社交平台架构中心,vissong,
933,网页智能埋点工具,CDG-广告营销服务线-商业数据部,siegli,
947,腾讯公益AI搜索bot,"CDG-可持续社会价值事业部-公益平台部,CDG-可持续社会价值事业部-技术生态部",gongyusun,https://hunyuanaide.taiji.woa.com/web/match_tryModel?id=19663
964,AI智能告警系统,TEG-安全平台部,neoxuzhang,https://xy.woa.com/xy/app/test/yyzsd/alarm_denoise
989,广告转化链路识别智能体,"CDG-广告营销服务线-商业数据部,TEG-安全平台部",txtingwang,
1008,拾光回忆录,PCG-PCG技术与内容平台-公共数据科学部,jamesxfbai,
102,AiX Agent,IEG-IEG Global-GaaS Tech Group,hongweiqu,https://agent.aix.intlgame.com
111,CVM AI 助手,CSIG-云产品一部,jubaoliang,
130,腾讯开悟平台使用答疑小助手,IEG-天美工作室群-天美电竞中心,yutoli,
149,多模态 AI 翻译及应用,IEG-IEG Global-Orbital Gaming Solutions,wanyouding,
164,AI自动写测试代码,WXG-企业微信应用部,pennypan,
170,AI验证码,TEG-安全平台部,milahuang,
182,TencentOS智能诊断助手,TEG-云架构平台部,danielwjli,https://tmanager.woa.com/#/workbench/homePage?task_id=261cbd65-a9c8-47a8-bc29-0fb6d7175f65
198,AI销售助手,CSIG-智慧出行事业部,sandrazhang,
23,黑产智能情报感知系统,CDG-支付基础平台与金融应用线-反洗钱与风险控制部,allisonzhao,https://aml-rag.woa.com/
256,开发专家agent,CSIG-地图产品部,haleyfang,
284,领航员TAB-Navi,PCG-PCG技术与内容平台-大数据平台部,ethanczheng,
296,SRE CLI,CSIG-云技术运营服务部,maxmzheng,https://iwiki.woa.com/p/4015819348
313,轻量云 AI 助手智能规划,CSIG-云产品一部,ceylancao,
344,小店广告客户增长Agent,CDG-广告营销服务线-商业推荐部,wadexue,
354,UGC运营助手,IEG-业务安全部,yammyjiang,
366,ai军师,"WXG-技术架构部,WXG-增值业务部",longpoliu,
390,王者荣耀灵宝端外智能体,TEG-计费平台部,elaineou,
410,推理回廊,IEG-品质管理部,quarkzou,
425,ALADIN一站式AI测试实践,CSIG-CSIG质量部,yongfeijia,
46,审核智能体项目,PCG-PCG技术与内容平台-内容服务部,marshao,https://trainingless.testsite.woa.com/
476,AI驱动Web_UI自动化测试,TEG-数据平台部,lucasybwang,https://adt.woa.com/#/tools/UITEST/debug?team=TEAM1267ab1f2ba9
509,云安智答-公有云安全知识问答,"CSIG-云技术运营服务部,CSIG-安全产品三部",donkhuang,https://ag.woa.com/?agentId=109
570,游戏账号画像分析,IEG-业务安全部,kosmoscheng,
594,腾讯新闻AI CR智能平台,PCG-腾讯新闻-新闻工程研发部,frankylu,
617,实验助手Agent,WXG-技术架构部,broccozhang,
66,自选股智能客服agent,CDG-支付基础平台与金融应用线-证券产品部,qamrawang,
696,智能表格AI字段,"WXG-企业微信应用部,WXG-企业微信产品部",kevinjlchen,https://doc.weixin.qq.com/
751,工单提效专家—工单分析AI助手,CSIG-云产品一部,kylexli,http://9.134.150.235:3001/analysis
775,外部代码生成,IEG-IEG品牌与数字生态营销部,aihjiang,https://xd.woa.com/itrpc.xd.aim/#/chat/index?agent_id=xqph2SugTK8n
784,智能排版助手,CSIG-政企客户成功中心,harlansun,http://82.157.154.60/
795,QQ浏览器下载助手,CSIG-信息平台与服务线-平台产品部,stevenleisu,https://browser.qq.com/ai-agents/?source=newtab
803,TRTC云助手,CSIG-云技术运营服务部,jackwlchen,https://taiji.woa.com/web-llm/web/llm_task_dialogue?id=19527&type=normal&redirectUrl=%2Fweb-llm%2Fweb%2Fllm_task%3FwsId%3D10144%26pageIndex%3D1&wsId=10144
815,企业微信智能总结,WXG-企业微信产品部,loganyu,
827,营销AI组合,CDG-支付基础平台与金融应用线-金融市场部,owensxli,
83,小磐SREAgent,TEG-云架构平台部,josenpeng,xiaopan.woa.com
859,微信公众号AI配图,WXG-开放平台部,doniafu,
882,研发全流程提效 Agent,CSIG-医疗健康事业部,hamilhong,
907,腾讯招聘AI-面试助手,S3-招聘活水部,elioyao,
925,基于文本用例终端自动化智能执行,PCG-PCG技术与内容平台-工程效能平台部,vincentyli,https://testone.woa.com/terminal-one-replay/tiyan#/terminal/caseManager?projectId=1
937,现网问题排查小助手,IEG-IEG品牌与数字生态营销部,tyraelhuang,
972,瓦力 - AI 编程助手,CSIG-云产品一部,jubaoliang,https://wally.woa.com
993,AI助力数据关联关系挖掘,IEG-光子工作室群-量子工作室,zimoding,怎么发现更多有价值的关联关系？让无监督算法和大模型来帮你！
1005,TCE接入Agent,CSIG-云产品一部,yaweihuang,
109,利用 AI 高效响应用户反馈,PCG-社交平台与应用线-社交协作产品部,stephantang,
122,AI助力叙事生成管线提质增效,IEG-光子工作室群-光子技术发展部,aresyfchen,https://git.woa.com/LQTechCentre/ShakespeareEditor/ShakespeareDialogueAIDemo.git
135,人工智能助手-SOP托管,TEG-客户服务部,yyyyan,https://kfsop.woa.com/agent/#/testSopDialog?flowId=438&code=wzry_ppbmMCP&branchId=1863
147,模型实验一体化分析助手Aly,CDG-广告营销服务线-商业推荐部,vanessacao,
157,A.I.G红队安全测试平台,TEG-安全平台部,nickyccwu,
167,AI智能写信,WXG-企业微信应用部,jackiehe,AI智能写信 体验介绍文档
176,AI驱动风控智能研发,CDG-支付基础平台与金融应用线-反洗钱与风险控制部,lilyzou,
19,iDOMO：广告形态智能助手,CDG-广告营销服务线-联盟广告部,yonhonwang,
191,文档抽取Agent,CSIG-云产品三部,benpeng,https://ocrdemo.cloud.tencent.com/?action=SubmitExtractDocAgentJob
212,金融信贷态势洞察agent,"WXG-微信支付线-研发部,WXG-微信支付线-支付金融产品部",jasonzong,企微群内体验，体验请联系jasonzong
226,王者荣耀指挥官模式AI陪玩,"IEG-天美工作室群-天美L1工作室,TEG-AI平台部",townesyan,
251,AI内容评测,PCG-PCG技术与内容平台-工程效能平台部,tritonzhang,
277,运产研贴心助手—轻量云AI助手,CSIG-云产品一部,yuehuali,wxwork://message?uin=33776998559279307
294,CrashSight智理,IEG-品质管理部,hugoxu,https://crashsight.qq.com/workbench/apps
30,Unity快捷资产插件,IEG-天美工作室群-天美L1工作室,guangruiwu,QuickAssetsPanel.unitypackage
304,可观测AI工作台,CSIG-云技术运营服务部,yyingxie,https://console.cloud.tencent.com/monitor/ai/explore
335,腾讯水滴法务 AI,S1-法务综合部,edisonwyli,https://lawtech.woa.com/home/index
352,微信小店智能客服联合项目,WXG-基础产品部,jieranwang,
364,购物助手,WXG-技术架构部,astroliu,
377,AI高考通,CSIG-信息平台与服务线-搜索及内容产品中心,johnrickli,
403,TDesign AI Chat,"CSIG-医疗健康事业部,PCG-在线视频BU-智能创作与内容平台部",yeonzhou,https://tdesign.tencent.com/chat/getting-started
438,位置服务AI助手,CSIG-地图产品部,leohhzhuang,
454,SSV研发工作流AI提效实践,CDG-可持续社会价值事业部-技术生态部,windlin,
472,邮箱奇美拉翻译,WXG-企业微信产品部,dylanlv,
548,TDebug Agent,PCG-PCG技术与内容平台-大数据平台部,fengsflin,
583,AI 生成智能表和仪表盘,PCG-社交平台与应用线-社交协作产品部,joslynlin,
59,电销AI小工具,CSIG-产业生态合作部,harrisxu,https://adp.cloud.tencent.com/webim_exp/#/chat/SyljAi
597,腾讯新闻商业化智能AI助手,PCG-腾讯新闻-新闻工程研发部,frankylu,
615,新闻微服务助手Agent,PCG-腾讯新闻-新闻工程研发部,sampan,https://inews.woa.com/page/chat
685,ai播客,TEG-大语言模型部,austinyhli,
707,微信输入法表情包创作agent,WXG-读书产品部,cecilelu,
747,FiT-AI安全大脑,CDG-支付基础平台与金融应用线-支付金融平台与数据部,faithsun,http://localhost:8080
767,青鸟系统-营销宣传合规审查工具,"CDG-支付基础平台与金融应用线-金融风险管理部,CDG-支付基础平台与金融应用线-支付金融平台与数据部",amandajye,
78,联盟前端 SDK AI 助手,CDG-广告营销服务线-联盟广告部,zuoxingli,
782,ima-agent任务模式,CSIG-信息平台与服务线-应用技术部,jimmyzhu,
792,视频号智能客服小助手,WXG-视频产品部,geryfan,https://work.weixin.qq.com/kfid/kfcbe6a0ad16c98642e
811,大模型安全自动评估 Agent,WXG-运营平台部,zatozhang,
823,QQ浏览器订阅助理,CSIG-信息平台与服务线-平台产品部,damonruan,https://browser.qq.com/ai-agents/?source=newtab&enableSubscribe=true
837,AI下载助理,"CSIG-信息平台与服务线-平台产品部,CSIG-信息平台与服务线-智能技术中心",terrencegu,
872,QQ浏览器AI视频助理,"CSIG-信息平台与服务线-平台产品部,CSIG-信息平台与服务线-智能技术中心",xianyizhang,https://browser.qq.com/ai-agents/?source=newtab&agent=video
887,高价值弹幕AI挖掘助手,PCG-在线视频BU-在线视频产品部,lunaluhu,
92,跨境汇款门店AI数字人,CDG-支付基础平台与金融应用线-跨境支付业务部,fitzfei,
983,智能素材投放,CDG-支付基础平台与金融应用线-支付金融平台与数据部,kaizenfang,https://avatar.fit.woa.com/llm-chat/28zy
1017,OVB智能数据助手小π,PCG-在线视频BU-在线视频数据科学部,ansonye,https://oval.woa.com/xiaopai
1054,叮小灵,CSIG-地图产品部,natalizhang,
1063,小途灵析AI,"CSIG-通途数据中心,CSIG-CSIG质量部",jensenwei,【悟空智能体】
1071,体育大聪明一站式AI观赛助手,PCG-在线视频BU-在线视频产品部,marksi,应用市场下载最新版腾讯体育APP，在比赛底层页、搜索框、底Tab、评论区等入口即可体验。（底Tab入口请联系marksi添加实验白名单）
1078,出海合规助手,CSIG-政企客户成功中心,frankechen,
1097,供应订单智能运维平台,CSIG-云采购供应管理部,gallopxiong,
1029,方言语料自动采集系统,CDG-可持续社会价值事业部-技术生态部,iriswong,https://adp.cloud.tencent.com/adp/#/app/knowledge/app-config?appid=1958778301535923264&appType=knowledge_qa&spaceId=default_space
1036,门店通—门店营销AI助手,TEG-数据平台部,jinbaozhang,
1049,Lily金融助手&深度研究,CDG-支付基础平台与金融应用线-支付金融平台与数据部,benshwu,https://fit.woa.com/lily
1061,智能营销助理,TEG-计费平台部,johannachen,
1069,集团安全智能运营,CSIG-安全产品三部,qiitao,http://9.208.17.36:8081/tasks
1076,计算运营数据AI助手,CSIG-云产品一部,elisedai,
1083,鹅厂党建小助手,"S3-党群工作部,TEG-云架构平台部",carlieqiu,
1096,万人大会线上体验agent,CSIG-CSIG市场部,gawainou,
1025,设计稿→可合并代码，AI全流程,WXG-企业微信应用部,donglinchen,
1035,赛博科学家：一站式AI科研助手,CSIG-生命科学实验室,lukatang,http://21.6.160.180:7860
1047,T-Audit,S2-审计监察,markplli,
1068,私有云文档写作助手,CSIG-云产品一部,tylerccwang,
1081,王者共创投稿AI审核,IEG-公共数据平台部,rikliu,
1094,天御金融反电信网络诈骗智能体,CSIG-安全产品二部,jonathanguo,
1031,私有化AI运维助手,CSIG-云技术运营服务部,lvanywang,https://znyw.woa.com/chat/history
1042,无人值守AI智能助手,CDG-广告营销服务线-商业运管部,sidneychen,
1057,TCase测试智能,TEG-云架构平台部,seagullliu,
1064,悟空代码安全Agent—简化版,TEG-安全平台部,moomichen,
1072,大模型护照智能审核服务,CDG-支付基础平台与金融应用线-支付平台研发部,tigerlan,微信钱包->身份信息->更新实名(或立即认证) ->选择证件类型(护照) -> 上传人像资料页面 -> 从手机相册选择
1079,智能文档审查系统,CSIG-云产品一部,ziongzhang,
1089,QQ浏览器信息流AI评论,CSIG-信息平台与服务线-应用技术部,hughzhu,
1103,工蜂 AI CR Agent,TEG-研发管理部,jingyiwang,
1024,微信支付AI开发助手,WXG-微信支付线-商户产品部,darcyhu,https://support.pay.weixin.qq.com/aidevhelper
1032,AI 高考通,"CSIG-搜索应用部,CSIG-信息平台与服务线-搜索及内容产品中心",qiyueli,https://browser.qq.com/ai-agents?agent=gaokao
1043,客诉智能分析平台,CDG-支付基础平台与金融应用线-支付平台研发部,toonychen,
1058,bayes legal,S1-金融法律合规部,sivanxu,https://bayes.app.fat.woa.com/
1067,AI PPT,PCG-社交平台与应用线-社交协作产品部,rongodzhang,
1073,LH-Trace日志分析助手,CSIG-云产品一部,yuehuali,http://21.215.6.248:8080/c/8a61bdc8-bf59-4c64-a832-7e70c33ac3d9
1093,电销全流程增效Agent,CSIG-云产品四部,joyejiang,AI质检培训材料
1186,影视素材智能剪辑agent,PCG-在线视频BU-智能创作与内容平台部,chanzhou,
1184,忍者企鹅AI,"IEG-光子工作室群-量子工作室,TEG-AI平台部",zimoding,
1182,广告人群挖掘助手,CDG-广告营销服务线-商业平台部,zeminmiao,
1176,DataPocket数据智能,IEG-公共数据平台部,prentissli,
1172,赛博医院：你的专属AI医疗团队,CSIG-生命科学实验室,lqszchen,http://9.135.217.78:7860
1169,合规检测GUI Agent,PCG-PCG技术与内容平台-应用架构平台部,jairochen,
1168,With,TEG-研发管理部,shinnyhuang,
1165,支付凭证验真Agent,S2-财经IT管理部,shizhao,
1162,DDOS攻击包分析,CSIG-云技术运营服务部,yaslhuang,http://dify-ai.woa.com/chat/uS9QY3CyJw5iz4lr
1160,通用自演进Agent,TEG-AI Lab,michaelcqin,https://alma.woa.com/
1156,数据标准化-maas大模型版本,CSIG-安全产品二部,sofiazhao,
1157,数据标准化-maas大模型版本,CSIG-安全产品二部,sofiazhao,
1152,修仙科普短篇一键生成,IEG-国内发行线-V7产品部,leiisun,
1151,企微文档用户反馈自动定位,WXG-企业微信应用部,ivanxfjiang,
1149,腾讯云智能客服,CSIG-云技术运营服务部,gavrielliu,https://cloud.tencent.com/online-service?from=connect-us&Is=sdk-floatbar
1144,「审小包」广告审核智能小助手,CDG-广告营销服务线-商业运管部,arvinmeng,
1142,智能顾问-AI赋能云上架构治理,CSIG-云技术运营服务部,georgzhang,
1137,TripGO(即刻出发),S2-财经IT管理部,keliye,
1135,「腾讯探元」AI文博助手智能体,CDG-可持续社会价值事业部-数字文化实验室,ericjing,微信小程序搜索「腾讯探元」
1126,QQ官方AI伙伴“小Q”,PCG-社交平台与应用线-AI应用产品中心,kedeng,QQ 官方 AI 伙伴 “小Q” 体验指南
1124,对象存储智能专家,CSIG-云产品一部,luciayzjia,https://ag.woa.com?agentId=308
1123,TCS-Agent,CSIG-云产品一部,cocoqlwang,
1122,AI辅助应用合规审核与质量巡检,PCG-商业产品部,hockeyli,
1119,合同智能起草,S2-财经IT管理部,sunnyylyang,
1118,腾讯云主机安全智能溯源助手,CSIG-安全产品三部,falcoke,http://localhost:2024
1116,星脉高性能网络智能化运营,TEG-网络平台部,ankerchen,https://netagent.woa.com/
1115,03助手,PCG-PCG技术与内容平台-应用架构平台部,zeronezhang,https://03.woa.com/chat
1113,Brand Safety,IEG-IEG Global-GaaS Tech Group,sunjoohwang,
1111,公域垂媒分析助手,"CSIG-智慧出行事业部,CSIG-云产品三部",irisxxzhao,
1110,QBoost智能平台,PCG-社交平台与应用线-社区产品部,boboxiong,https://qboost.woa.com/
1109,内容安全Agent,WXG-运营平台部,huanqinwu,http://11.219.11.58:80
1108,微信公众号AI分身（智能回复）,TEG-大语言模型部,dimitriyu,
1105,AI智能生成文档后台接口用例,WXG-企业微信应用部,lpslin,https://gytest.wwitil.woa.com/magiccube/welcome#/autotest/servemodule/moduledetail/2846/xmsmartsheetservice/%E6%99%BA%E8%83%BD%E8%A1%A8%E6%A0%BC%E5%93%81%E7%B1%BBcgi%E6%9C%8D%E5%8A%A1%E5%85%A5%E5%8F%A3
1220,电商大促AI小助手,"CDG-广告营销服务线-商业推荐部,CDG-广告营销服务线-商业平台部",darrenguo,
1219,AI值班巡检排障助手,PCG-社交平台与应用线-AI应用产品中心,walli,
1215,共富AI,CDG-可持续社会价值事业部-为村发展实验室,shoulintang,
1213,doubleC,"CDG-可持续社会价值事业部-技术生态部,CDG-可持续社会价值事业部-公益平台部",maxineqiu,
1211,AI驱动UI自动化测试,TEG-网络平台部,bottlejiang,
1209,公益项目进展分析报告生成智能体,CDG-可持续社会价值事业部-公益平台部,jayefeng,
1207,七彩石产品问答和诊断Agent,TEG-研发管理部,kaeljiang,https://rainbow.woa.com/console
